type,mean_1,stddev_1,mean_2,stddev_2,results,time,age,gender,smoker,background,date,condition,experiment,ID
Control,-0.2,0.1,-0.1,0.1,2,5.367,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.2,0.04,0.2,0.1,2,7.084,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.3,0.3,0.3,0.1,2,7.57,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.1,0.04,0.1,0.1,2,11.392,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Control,-0.2,0.1,-0.1,0.1,2,9.76,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Diversion,-0.2,0.1,-0.2,0.3,4,9.972,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.4,0.3,0.4,0.1,2,6.818,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.1,0.3,0.1,0.1,2,8.596,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.4,0.04,-0.4,0.1,2,8.245,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Diversion,-0.2,0.1,-0.2,0.3,4,8.997,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.2,0.04,-0.2,0.1,2,11.147,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.3,0.04,0.3,0.1,2,8.932,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.0,0.04,0.0,0.1,2,6.643,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.1,0.3,-0.1,0.1,1,16.871,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.2,0.3,-0.2,0.1,2,6.54,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.1,0.04,-0.1,0.1,2,7.932,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.3,0.04,-0.3,0.1,2,10.267,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Control,-0.2,0.1,-0.1,0.1,2,6.745,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.0,0.04,0.0,0.1,2,10.202,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.3,0.3,-0.3,0.1,2,7.371,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.2,0.3,0.2,0.1,2,7.973,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.0,0.3,0.0,0.1,2,10.739,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.0,0.3,0.0,0.1,2,7.832,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,-0.4,0.3,-0.4,0.1,3,11.194,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Control,-0.2,0.1,-0.1,0.1,2,5.352,20,gender_male,smoker_no,Neuroscience,2016Feb4,T2,,69
Experiment,0.4,0.3,0.4,0.1,2,3.728,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.3,0.04,0.3,0.1,4,6.899,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Diversion,0.2,0.1,0.2,0.3,5,6.559,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Control,0.2,0.1,0.4,0.1,3,6.489,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Control,0.2,0.1,0.4,0.1,2,7.78,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.4,0.3,-0.4,0.1,2,8.531,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Control,0.2,0.1,0.4,0.1,3,9.732,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.3,0.3,-0.3,0.1,2,11.448,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.1,0.3,-0.1,0.1,3,14.955,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.1,0.04,-0.1,0.1,4,9.142,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.1,0.3,0.1,0.1,3,10.484,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.4,0.04,-0.4,0.1,4,11.966,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.3,0.3,0.3,0.1,3,14.327,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.0,0.04,0.0,0.1,4,9.649,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.2,0.3,0.2,0.1,4,10.848,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.2,0.04,-0.2,0.1,5,12.831,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.0,0.3,0.0,0.1,4,11.504,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.0,0.3,0.0,0.1,3,14.847,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.1,0.04,0.1,0.1,5,13.671,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.2,0.04,0.2,0.1,5,13.438,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Diversion,0.2,0.1,0.2,0.3,5,7.898,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.2,0.3,-0.2,0.1,4,11.667,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,-0.3,0.04,-0.3,0.1,4,10.572,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Control,0.2,0.1,0.4,0.1,4,12.26,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.0,0.04,0.0,0.1,4,10.611,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Experiment,0.4,0.04,0.4,0.1,4,12.801,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Diversion,0.2,0.1,0.2,0.3,5,7.598,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Control,0.2,0.1,0.4,0.1,3,9.721,30,gender_male,smoker_no,engineering,2016Feb4,T2,,70
Control,0.0,0.1,0.4,0.1,5,9.19,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.3,0.04,-0.3,0.1,4,7.774,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.0,0.04,0.0,0.1,5,6.625,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.2,0.3,0.2,0.1,2,4.165,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Control,0.0,0.1,0.4,0.1,3,8.191,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Control,0.0,0.1,0.4,0.1,3,10.492,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Control,0.0,0.1,0.4,0.1,2,5.671,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Diversion,0.0,0.1,0.0,0.3,5,9.861,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.1,0.3,-0.1,0.1,2,9.293,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.1,0.3,0.1,0.1,2,7.998,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.0,0.3,0.0,0.1,2,8.241,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.1,0.04,-0.1,0.1,3,8.228,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.0,0.04,0.0,0.1,3,8.74,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.2,0.3,-0.2,0.1,2,7.656,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.4,0.04,-0.4,0.1,3,5.806,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.3,0.3,-0.3,0.1,2,6.235,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.4,0.3,0.4,0.1,3,6.964,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Control,0.0,0.1,0.4,0.1,3,10.178,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.4,0.3,-0.4,0.1,2,7.197,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.3,0.3,0.3,0.1,2,5.3,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.1,0.04,0.1,0.1,3,7.73,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Diversion,0.0,0.1,0.0,0.3,4,8.415,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,-0.2,0.04,-0.2,0.1,2,8.484,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Diversion,0.0,0.1,0.0,0.3,4,11.541,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.3,0.04,0.3,0.1,2,10.097,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.2,0.04,0.2,0.1,3,6.954,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.0,0.3,0.0,0.1,2,6.002,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Experiment,0.4,0.04,0.4,0.1,3,7.031,21,gender_female,smoker_no,Neuroscience and Psychology,2016Feb4,T2,,71
Control,-0.4,0.1,0.0,0.1,3,9.159,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.3,0.04,-0.3,0.1,4,8.914,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Control,-0.4,0.1,0.0,0.1,3,10.303,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.1,0.3,0.1,0.1,2,7.147,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.1,0.04,-0.1,0.1,3,14.066,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.1,0.04,0.1,0.1,2,10.605,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.3,0.3,-0.3,0.1,3,9.917,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.2,0.3,-0.2,0.1,3,9.346,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.1,0.3,-0.1,0.1,3,10.683,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.4,0.04,-0.4,0.1,3,11.894,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.4,0.3,-0.4,0.1,3,11.259,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.3,0.04,0.3,0.1,2,10.548,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.2,0.3,0.2,0.1,3,8.185,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.0,0.3,0.0,0.1,2,8.711,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.0,0.04,0.0,0.1,2,11.428,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Control,-0.4,0.1,0.0,0.1,2,9.983,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Control,-0.4,0.1,0.0,0.1,4,9.54,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Diversion,-0.4,0.1,-0.4,0.3,5,6.389,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.4,0.04,0.4,0.1,4,8.423,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.0,0.3,0.0,0.1,2,6.929,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.3,0.3,0.3,0.1,3,10.366,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.4,0.3,0.4,0.1,2,8.967,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.2,0.04,0.2,0.1,4,7.222,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,-0.2,0.04,-0.2,0.1,2,5.817,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Diversion,-0.4,0.1,-0.4,0.3,5,5.094,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Control,-0.4,0.1,0.0,0.1,4,7.682,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.0,0.04,0.0,0.1,4,6.872,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Diversion,-0.4,0.1,-0.4,0.3,5,5.511,19,gender_male,smoker_no,Marketing,2016Feb4,T2,,72
Experiment,0.2,0.3,0.2,0.1,4,10.104,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Control,0.0,0.1,0.3,0.1,4,9.244,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.1,0.3,0.1,0.1,3,10.29,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.4,0.04,-0.4,0.1,3,8.136,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.0,0.3,0.0,0.1,3,9.392,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Diversion,0.0,0.1,0.0,0.3,5,5.546,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.0,0.3,0.0,0.1,3,7.271,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.2,0.3,-0.2,0.1,3,6.136,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.3,0.3,0.3,0.1,4,7.612,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Control,0.0,0.1,0.3,0.1,3,7.99,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Diversion,0.0,0.1,0.0,0.3,5,5.775,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.1,0.3,-0.1,0.1,4,7.184,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Control,0.0,0.1,0.3,0.1,3,7.306,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Control,0.0,0.1,0.3,0.1,3,7.815,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.0,0.04,0.0,0.1,3,8.506,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.4,0.04,0.4,0.1,3,6.651,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.1,0.04,0.1,0.1,3,9.066,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.2,0.04,0.2,0.1,3,8.528,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.4,0.3,-0.4,0.1,2,8.155,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Control,0.0,0.1,0.3,0.1,3,4.959,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Diversion,0.0,0.1,0.0,0.3,5,4.574,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.2,0.04,-0.2,0.1,3,8.506,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.3,0.04,0.3,0.1,2,8.792,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.1,0.04,-0.1,0.1,3,6.675,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.0,0.04,0.0,0.1,3,8.292,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.4,0.3,0.4,0.1,3,7.345,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.3,0.3,-0.3,0.1,2,9.057,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,-0.3,0.04,-0.3,0.1,3,7.045,23,gender_male,smoker_no,Applied Mathematics,2016Feb4,T2,,73
Experiment,0.3,0.04,0.3,0.1,4,6.002,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.4,0.3,0.4,0.1,3,4.535,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Control,-0.3,0.1,-0.1,0.1,3,5.729,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Control,-0.3,0.1,-0.1,0.1,4,5.731,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Diversion,-0.3,0.1,-0.3,0.3,5,5.413,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.1,0.04,0.1,0.1,3,7.271,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.3,0.3,-0.3,0.1,2,6.585,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Diversion,-0.3,0.1,-0.3,0.3,5,4.976,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.2,0.3,0.2,0.1,2,5.711,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.1,0.04,-0.1,0.1,3,7.016,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.3,0.3,0.3,0.1,2,4.806,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Control,-0.3,0.1,-0.1,0.1,3,5.15,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.4,0.04,-0.4,0.1,3,6.651,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.2,0.04,-0.2,0.1,3,7.23,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.0,0.04,0.0,0.1,3,8.423,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.1,0.3,0.1,0.1,3,8.0,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.0,0.3,0.0,0.1,3,6.616,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.4,0.04,0.4,0.1,3,5.307,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.3,0.04,-0.3,0.1,3,8.291,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Diversion,-0.3,0.1,-0.3,0.3,4,7.077,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.0,0.3,0.0,0.1,3,6.182,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.1,0.3,-0.1,0.1,2,7.113,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.2,0.3,-0.2,0.1,3,5.253,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Control,-0.3,0.1,-0.1,0.1,3,4.843,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Control,-0.3,0.1,-0.1,0.1,2,7.404,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.2,0.04,0.2,0.1,3,5.891,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,0.0,0.04,0.0,0.1,2,7.895,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.4,0.3,-0.4,0.1,2,8.229,19,gender_female,smoker_no,Student,2016Feb4,T2,,74
Experiment,-0.2,0.3,-0.2,0.1,3,7.163,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,-0.4,0.3,-0.4,0.1,4,6.798,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.2,0.3,0.2,0.1,2,5.908,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Diversion,0.0,0.1,0.0,0.3,5,7.905,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,-0.3,0.3,-0.3,0.1,3,7.791,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Control,0.0,0.1,-0.4,0.1,4,7.059,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.1,0.04,0.1,0.1,2,8.662,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.0,0.04,0.0,0.1,4,9.265,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,-0.1,0.04,-0.1,0.1,4,8.329,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.0,0.3,0.0,0.1,5,7.22,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.4,0.04,0.4,0.1,4,10.346,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,-0.3,0.04,-0.3,0.1,3,10.563,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Control,0.0,0.1,-0.4,0.1,5,8.618,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Diversion,0.0,0.1,0.0,0.3,5,4.589,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.3,0.04,0.3,0.1,4,8.933,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Diversion,0.0,0.1,0.0,0.3,5,8.025,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.0,0.3,0.0,0.1,4,7.375,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.4,0.3,0.4,0.1,3,7.49,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Control,0.0,0.1,-0.4,0.1,0,0.0,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Control,0.0,0.1,-0.4,0.1,4,5.208,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.0,0.04,0.0,0.1,3,6.531,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.1,0.3,0.1,0.1,3,8.63,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,-0.1,0.3,-0.1,0.1,3,8.161,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Control,0.0,0.1,-0.4,0.1,4,7.316,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.3,0.3,0.3,0.1,3,5.757,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,-0.2,0.04,-0.2,0.1,3,5.548,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,-0.4,0.04,-0.4,0.1,5,8.888,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.2,0.04,0.2,0.1,4,7.806,33,gender_female,smoker_no,Politics,2016Feb4,T2,,75
Experiment,0.3,0.04,0.3,0.1,4,8.94,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.1,0.04,-0.1,0.1,5,9.983,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Diversion,-0.3,0.1,-0.3,0.3,5,4.546,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.1,0.3,-0.1,0.1,3,12.918,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.2,0.04,-0.2,0.1,4,11.643,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Diversion,-0.3,0.1,-0.3,0.3,5,7.461,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.1,0.04,0.1,0.1,4,9.477,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.2,0.04,0.2,0.1,4,13.127,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.2,0.3,-0.2,0.1,3,10.482,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.4,0.04,-0.4,0.1,4,14.195,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.4,0.3,0.4,0.1,3,11.288,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.2,0.3,0.2,0.1,3,10.86,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.3,0.3,0.3,0.1,3,11.062,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.3,0.3,-0.3,0.1,2,12.083,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.3,0.04,-0.3,0.1,4,11.797,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.0,0.3,0.0,0.1,3,11.426,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.0,0.04,0.0,0.1,4,12.368,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.1,0.3,0.1,0.1,3,10.98,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Control,-0.3,0.1,0.0,0.1,4,11.608,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Control,-0.3,0.1,0.0,0.1,3,14.232,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Control,-0.3,0.1,0.0,0.1,2,11.542,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Control,-0.3,0.1,0.0,0.1,0,0.0,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Diversion,-0.3,0.1,-0.3,0.3,5,3.431,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.0,0.3,0.0,0.1,2,8.316,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.0,0.04,0.0,0.1,3,11.149,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.4,0.3,-0.4,0.1,2,12.238,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Control,-0.3,0.1,0.0,0.1,2,9.57,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,0.4,0.04,0.4,0.1,2,12.351,18,gender_female,smoker_no,media,2016Feb4,T2,,76
Experiment,-0.3,0.3,-0.3,0.1,3,6.655,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,-0.2,0.04,-0.2,0.1,4,9.443,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Control,0.1,0.1,-0.3,0.1,4,8.621,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,0.1,0.3,0.1,0.1,3,11.793,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,-0.4,0.3,-0.4,0.1,3,8.145,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Control,0.1,0.1,-0.3,0.1,3,7.341,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,0.0,0.04,0.0,0.1,3,4.629,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Control,0.1,0.1,-0.3,0.1,3,5.343,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,-0.1,0.3,-0.1,0.1,3,8.444,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,-0.3,0.04,-0.3,0.1,3,8.066,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,-0.2,0.3,-0.2,0.1,3,10.096,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Diversion,0.1,0.1,0.1,0.3,5,13.209,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,0.3,0.04,0.3,0.1,3,9.083,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,0.0,0.04,0.0,0.1,3,10.186,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
Experiment,0.1,0.04,0.1,0.1,3,9.481,21,gender_female,smoker_no,International Business,2016Feb4,T2,,77
